# adapter_vendor=32902 device=32103 luid_low=64390 luid_high=0 width=3840 height=2160 sigma=12 border=hard cached=0 invalidate=1
block,sample,mode,frequency,disjoint,gpu_ms
0,0,1,19200000,0,5.437864583
0,1,1,19200000,0,4.934531250
0,2,1,19200000,0,3.375156250
0,3,1,19200000,0,2.815468750
0,4,1,19200000,0,2.784114583
0,5,1,19200000,0,2.813645833
0,6,1,19200000,0,2.780156250
0,7,1,19200000,0,2.795000000
0,8,1,19200000,0,2.958697917
0,9,1,19200000,0,2.965208333
0,10,1,19200000,0,2.989843750
0,11,1,19200000,0,2.946197917
0,12,1,19200000,0,2.977031250
0,13,1,19200000,0,2.942812500
0,14,1,19200000,0,2.971302083
0,15,1,19200000,0,2.967916667
0,16,1,19200000,0,3.008958333
0,17,1,19200000,0,2.960729167
0,18,1,19200000,0,2.945520833
0,19,1,19200000,0,3.033906250
0,20,1,19200000,0,3.142239583
0,21,1,19200000,0,3.162656250
0,22,1,19200000,0,3.162291667
0,23,1,19200000,0,3.167864583
0,24,1,19200000,0,3.153333333
0,25,1,19200000,0,3.378593750
0,26,1,19200000,0,3.391354167
0,27,1,19200000,0,3.370520833
0,28,1,19200000,0,3.347552083
0,29,1,19200000,0,3.380156250
0,30,1,19200000,0,3.380781250
0,31,1,19200000,0,3.387812500
0,32,1,19200000,0,3.374270833
0,33,1,19200000,0,3.381770833
0,34,1,19200000,0,3.394635417
0,35,1,19200000,0,3.384531250
0,36,1,19200000,0,3.396145833
0,37,1,19200000,0,3.387552083
0,38,1,19200000,0,3.390729167
0,39,1,19200000,0,3.375104167
0,40,1,19200000,0,3.382239583
0,41,1,19200000,0,3.382135417
0,42,1,19200000,0,3.381718750
0,43,1,19200000,0,3.394895833
0,44,1,19200000,0,3.367604167
0,45,1,19200000,0,3.372031250
0,46,1,19200000,0,3.381562500
0,47,1,19200000,0,3.382604167
0,48,1,19200000,0,3.383854167
0,49,1,19200000,0,3.379166667
0,50,1,19200000,0,3.390104167
0,51,1,19200000,0,3.380156250
0,52,1,19200000,0,3.395572917
0,53,1,19200000,0,3.391979167
0,54,1,19200000,0,3.406927083
0,55,1,19200000,0,3.386354167
0,56,1,19200000,0,3.384635417
0,57,1,19200000,0,3.389635417
0,58,1,19200000,0,3.429895833
0,59,1,19200000,0,3.389010417
0,60,1,19200000,0,3.351302083
0,61,1,19200000,0,3.379375000
0,62,1,19200000,0,3.381822917
0,63,1,19200000,0,3.399218750
0,64,1,19200000,0,3.377656250
0,65,1,19200000,0,3.397395833
0,66,1,19200000,0,3.373177083
0,67,1,19200000,0,3.382708333
0,68,1,19200000,0,3.385989583
0,69,1,19200000,0,3.395677083
1,0,0,19200000,0,3.096666667
1,1,0,19200000,0,3.087968750
1,2,0,19200000,0,3.087291667
1,3,0,19200000,0,3.081041667
1,4,0,19200000,0,3.084583333
1,5,0,19200000,0,3.080625000
1,6,0,19200000,0,3.102083333
1,7,0,19200000,0,3.073593750
1,8,0,19200000,0,3.092291667
1,9,0,19200000,0,3.099531250
1,10,0,19200000,0,3.091302083
1,11,0,19200000,0,3.087031250
1,12,0,19200000,0,3.091822917
1,13,0,19200000,0,3.080052083
1,14,0,19200000,0,3.088177083
1,15,0,19200000,0,3.089843750
1,16,0,19200000,0,3.076302083
1,17,0,19200000,0,3.079531250
1,18,0,19200000,0,3.089375000
1,19,0,19200000,0,3.085677083
1,20,0,19200000,0,3.082239583
1,21,0,19200000,0,3.076354167
1,22,0,19200000,0,3.090625000
1,23,0,19200000,0,3.086093750
1,24,0,19200000,0,3.076250000
1,25,0,19200000,0,3.075989583
1,26,0,19200000,0,3.085208333
1,27,0,19200000,0,3.070833333
1,28,0,19200000,0,3.077968750
1,29,0,19200000,0,3.081614583
1,30,0,19200000,0,3.083802083
1,31,0,19200000,0,3.080052083
1,32,0,19200000,0,3.083281250
1,33,0,19200000,0,3.103333333
1,34,0,19200000,0,3.093958333
1,35,0,19200000,0,3.081041667
1,36,0,19200000,0,3.070156250
1,37,0,19200000,0,3.085312500
1,38,0,19200000,0,3.079322917
1,39,0,19200000,0,3.101666667
1,40,0,19200000,0,3.096041667
1,41,0,19200000,0,3.071510417
1,42,0,19200000,0,3.080156250
1,43,0,19200000,0,3.088802083
1,44,0,19200000,0,3.075260417
1,45,0,19200000,0,3.099947917
1,46,0,19200000,0,3.073385417
1,47,0,19200000,0,3.083333333
1,48,0,19200000,0,3.084427083
1,49,0,19200000,0,3.079635417
1,50,0,19200000,0,3.098072917
1,51,0,19200000,0,3.084583333
1,52,0,19200000,0,3.088229167
1,53,0,19200000,0,3.083750000
1,54,0,19200000,0,3.098593750
1,55,0,19200000,0,3.064843750
1,56,0,19200000,0,3.098958333
1,57,0,19200000,0,3.070468750
1,58,0,19200000,0,3.078385417
1,59,0,19200000,0,3.072291667
1,60,0,19200000,0,3.093697917
1,61,0,19200000,0,3.095729167
1,62,0,19200000,0,3.081562500
1,63,0,19200000,0,3.061718750
1,64,0,19200000,0,3.071458333
1,65,0,19200000,0,3.071197917
1,66,0,19200000,0,3.079583333
1,67,0,19200000,0,3.077447917
1,68,0,19200000,0,3.084531250
1,69,0,19200000,0,3.090468750
2,0,2,19200000,0,9.786354167
2,1,2,19200000,0,9.786197917
2,2,2,19200000,0,9.777291667
2,3,2,19200000,0,7.488385417
2,4,2,19200000,0,7.484322917
2,5,2,19200000,0,7.534531250
2,6,2,19200000,0,7.477552083
2,7,2,19200000,0,7.483802083
2,8,2,19200000,0,7.509687500
2,9,2,19200000,0,7.520208333
2,10,2,19200000,0,7.481041667
2,11,2,19200000,0,7.494218750
2,12,2,19200000,0,7.508489583
2,13,2,19200000,0,7.489114583
2,14,2,19200000,0,7.484270833
2,15,2,19200000,0,7.472343750
2,16,2,19200000,0,7.487447917
2,17,2,19200000,0,7.491406250
2,18,2,19200000,0,7.503697917
2,19,2,19200000,0,7.510677083
2,20,2,19200000,0,7.508697917
2,21,2,19200000,0,7.502708333
2,22,2,19200000,0,7.497135417
2,23,2,19200000,0,7.499322917
2,24,2,19200000,0,7.497187500
2,25,2,19200000,0,7.507916667
2,26,2,19200000,0,7.487812500
2,27,2,19200000,0,7.508072917
2,28,2,19200000,0,7.512656250
2,29,2,19200000,0,7.520000000
2,30,2,19200000,0,7.532968750
2,31,2,19200000,0,7.491197917
2,32,2,19200000,0,7.502239583
2,33,2,19200000,0,7.502656250
2,34,2,19200000,0,7.496927083
2,35,2,19200000,0,7.497760417
2,36,2,19200000,0,7.500781250
2,37,2,19200000,0,7.506250000
2,38,2,19200000,0,7.506145833
2,39,2,19200000,0,7.500729167
2,40,2,19200000,0,7.498437500
2,41,2,19200000,0,7.512083333
2,42,2,19200000,0,7.509010417
2,43,2,19200000,0,7.508593750
2,44,2,19200000,0,7.502760417
2,45,2,19200000,0,7.508750000
2,46,2,19200000,0,7.503229167
2,47,2,19200000,0,7.506458333
2,48,2,19200000,0,7.518125000
2,49,2,19200000,0,7.512187500
2,50,2,19200000,0,7.484583333
2,51,2,19200000,0,7.494583333
2,52,2,19200000,0,7.477031250
2,53,2,19200000,0,7.519895833
2,54,2,19200000,0,7.520520833
2,55,2,19200000,0,7.505208333
2,56,2,19200000,0,7.500468750
2,57,2,19200000,0,7.516614583
2,58,2,19200000,0,7.494270833
2,59,2,19200000,0,7.479427083
2,60,2,19200000,0,7.481093750
2,61,2,19200000,0,7.495052083
2,62,2,19200000,0,7.501718750
2,63,2,19200000,0,7.496145833
2,64,2,19200000,0,7.507968750
2,65,2,19200000,0,7.493385417
2,66,2,19200000,0,7.496041667
2,67,2,19200000,0,7.508177083
2,68,2,19200000,0,7.504062500
2,69,2,19200000,0,7.494531250
3,0,2,19200000,0,7.516510417
3,1,2,19200000,0,7.493697917
3,2,2,19200000,0,7.489947917
3,3,2,19200000,0,7.495104167
3,4,2,19200000,0,7.499270833
3,5,2,19200000,0,7.496822917
3,6,2,19200000,0,7.497291667
3,7,2,19200000,0,7.513489583
3,8,2,19200000,0,7.487239583
3,9,2,19200000,0,7.481770833
3,10,2,19200000,0,7.484166667
3,11,2,19200000,0,7.490937500
3,12,2,19200000,0,7.499218750
3,13,2,19200000,0,7.485000000
3,14,2,19200000,0,7.487656250
3,15,2,19200000,0,7.501354167
3,16,2,19200000,0,7.492447917
3,17,2,19200000,0,7.509895833
3,18,2,19200000,0,7.496770833
3,19,2,19200000,0,7.497552083
3,20,2,19200000,0,7.503958333
3,21,2,19200000,0,7.500260417
3,22,2,19200000,0,7.503125000
3,23,2,19200000,0,7.486979167
3,24,2,19200000,0,7.496822917
3,25,2,19200000,0,7.487083333
3,26,2,19200000,0,7.500416667
3,27,2,19200000,0,7.487760417
3,28,2,19200000,0,7.496302083
3,29,2,19200000,0,7.497031250
3,30,2,19200000,0,7.485364583
3,31,2,19200000,0,7.506093750
3,32,2,19200000,0,7.492447917
3,33,2,19200000,0,7.517187500
3,34,2,19200000,0,7.555885417
3,35,2,19200000,0,7.497083333
3,36,2,19200000,0,7.520312500
3,37,2,19200000,0,7.505937500
3,38,2,19200000,0,7.503177083
3,39,2,19200000,0,7.512864583
3,40,2,19200000,0,7.503072917
3,41,2,19200000,0,7.511093750
3,42,2,19200000,0,7.502135417
3,43,2,19200000,0,7.502395833
3,44,2,19200000,0,7.497135417
3,45,2,19200000,0,7.516458333
3,46,2,19200000,0,7.492500000
3,47,2,19200000,0,7.502447917
3,48,2,19200000,0,7.505416667
3,49,2,19200000,0,7.498802083
3,50,2,19200000,0,7.487552083
3,51,2,19200000,0,7.497812500
3,52,2,19200000,0,7.487552083
3,53,2,19200000,0,7.489531250
3,54,2,19200000,0,7.501093750
3,55,2,19200000,0,7.490156250
3,56,2,19200000,0,7.496197917
3,57,2,19200000,0,7.488854167
3,58,2,19200000,0,7.478593750
3,59,2,19200000,0,7.501197917
3,60,2,19200000,0,7.505833333
3,61,2,19200000,0,7.475052083
3,62,2,19200000,0,7.491718750
3,63,2,19200000,0,7.501718750
3,64,2,19200000,0,7.524843750
3,65,2,19200000,0,7.523593750
3,66,2,19200000,0,7.504687500
3,67,2,19200000,0,7.485208333
3,68,2,19200000,0,7.514218750
3,69,2,19200000,0,7.512968750
4,0,0,19200000,0,3.064895833
4,1,0,19200000,0,3.065052083
4,2,0,19200000,0,3.089895833
4,3,0,19200000,0,3.105520833
4,4,0,19200000,0,3.074166667
4,5,0,19200000,0,3.092291667
4,6,0,19200000,0,3.089479167
4,7,0,19200000,0,3.121354167
4,8,0,19200000,0,3.076510417
4,9,0,19200000,0,3.100937500
4,10,0,19200000,0,3.065572917
4,11,0,19200000,0,3.082083333
4,12,0,19200000,0,3.078281250
4,13,0,19200000,0,3.066093750
4,14,0,19200000,0,3.086927083
4,15,0,19200000,0,3.071302083
4,16,0,19200000,0,3.079166667
4,17,0,19200000,0,3.076406250
4,18,0,19200000,0,3.054791667
4,19,0,19200000,0,3.079427083
4,20,0,19200000,0,3.075781250
4,21,0,19200000,0,3.059843750
4,22,0,19200000,0,3.070104167
4,23,0,19200000,0,3.101718750
4,24,0,19200000,0,3.075781250
4,25,0,19200000,0,3.079062500
4,26,0,19200000,0,3.075104167
4,27,0,19200000,0,3.099531250
4,28,0,19200000,0,3.079375000
4,29,0,19200000,0,3.093593750
4,30,0,19200000,0,3.087968750
4,31,0,19200000,0,3.070937500
4,32,0,19200000,0,3.097916667
4,33,0,19200000,0,3.091770833
4,34,0,19200000,0,3.082864583
4,35,0,19200000,0,3.087604167
4,36,0,19200000,0,3.071666667
4,37,0,19200000,0,3.098906250
4,38,0,19200000,0,3.071197917
4,39,0,19200000,0,3.082656250
4,40,0,19200000,0,3.073177083
4,41,0,19200000,0,3.083958333
4,42,0,19200000,0,3.084635417
4,43,0,19200000,0,3.057031250
4,44,0,19200000,0,3.065208333
4,45,0,19200000,0,3.090572917
4,46,0,19200000,0,3.095937500
4,47,0,19200000,0,3.097708333
4,48,0,19200000,0,3.073645833
4,49,0,19200000,0,3.090833333
4,50,0,19200000,0,3.092708333
4,51,0,19200000,0,3.083645833
4,52,0,19200000,0,3.094479167
4,53,0,19200000,0,3.082760417
4,54,0,19200000,0,3.092864583
4,55,0,19200000,0,3.094010417
4,56,0,19200000,0,3.086093750
4,57,0,19200000,0,3.089947917
4,58,0,19200000,0,3.080416667
4,59,0,19200000,0,3.076979167
4,60,0,19200000,0,3.083489583
4,61,0,19200000,0,3.074114583
4,62,0,19200000,0,3.093593750
4,63,0,19200000,0,3.055885417
4,64,0,19200000,0,3.079270833
4,65,0,19200000,0,3.088541667
4,66,0,19200000,0,3.075104167
4,67,0,19200000,0,3.088906250
4,68,0,19200000,0,3.081614583
4,69,0,19200000,0,3.093750000
5,0,1,19200000,0,3.373385417
5,1,1,19200000,0,3.376093750
5,2,1,19200000,0,3.406614583
5,3,1,19200000,0,3.376302083
5,4,1,19200000,0,3.379687500
5,5,1,19200000,0,3.373281250
5,6,1,19200000,0,3.395781250
5,7,1,19200000,0,3.382135417
5,8,1,19200000,0,3.395989583
5,9,1,19200000,0,3.375156250
5,10,1,19200000,0,3.373697917
5,11,1,19200000,0,3.403645833
5,12,1,19200000,0,3.367812500
5,13,1,19200000,0,3.359322917
5,14,1,19200000,0,3.399843750
5,15,1,19200000,0,3.388333333
5,16,1,19200000,0,3.377916667
5,17,1,19200000,0,3.367604167
5,18,1,19200000,0,3.409166667
5,19,1,19200000,0,3.395833333
5,20,1,19200000,0,3.377656250
5,21,1,19200000,0,3.373229167
5,22,1,19200000,0,3.390625000
5,23,1,19200000,0,3.374114583
5,24,1,19200000,0,3.388385417
5,25,1,19200000,0,3.414270833
5,26,1,19200000,0,3.392083333
5,27,1,19200000,0,3.395156250
5,28,1,19200000,0,3.385572917
5,29,1,19200000,0,3.380312500
5,30,1,19200000,0,3.417760417
5,31,1,19200000,0,3.373750000
5,32,1,19200000,0,3.408437500
5,33,1,19200000,0,3.375052083
5,34,1,19200000,0,3.402239583
5,35,1,19200000,0,3.369531250
5,36,1,19200000,0,3.401197917
5,37,1,19200000,0,3.383750000
5,38,1,19200000,0,3.388437500
5,39,1,19200000,0,3.396406250
5,40,1,19200000,0,3.388281250
5,41,1,19200000,0,3.392552083
5,42,1,19200000,0,3.397187500
5,43,1,19200000,0,3.391458333
5,44,1,19200000,0,3.386718750
5,45,1,19200000,0,3.383333333
5,46,1,19200000,0,3.385000000
5,47,1,19200000,0,3.379895833
5,48,1,19200000,0,3.405156250
5,49,1,19200000,0,3.378593750
5,50,1,19200000,0,3.394427083
5,51,1,19200000,0,3.389531250
5,52,1,19200000,0,3.390520833
5,53,1,19200000,0,3.365625000
5,54,1,19200000,0,3.412864583
5,55,1,19200000,0,3.381927083
5,56,1,19200000,0,3.385937500
5,57,1,19200000,0,3.365625000
5,58,1,19200000,0,3.363593750
5,59,1,19200000,0,3.390677083
5,60,1,19200000,0,3.392916667
5,61,1,19200000,0,3.393177083
5,62,1,19200000,0,3.364427083
5,63,1,19200000,0,3.366927083
5,64,1,19200000,0,3.396041667
5,65,1,19200000,0,3.380625000
5,66,1,19200000,0,3.387604167
5,67,1,19200000,0,3.380520833
5,68,1,19200000,0,3.382343750
5,69,1,19200000,0,3.375989583
# exit=0
